"Symbol","Change %","Last","RPR","TPR","V50d (K)","v/50","% Off 52-wk High","Volume (K)","VRR","Change $","RPR Change"
"HROW","0.35%","$54.18","94","A","547","66.90%","-1.22%","913","","$0.19","0"
"IMTX","2.07%","$10.34","94","A","397","-1.83%","-16.68%","390","","$0.21","0"
"INTT","16.62%","$11.65","94","A","53","428.48%","-1.52%","281","","$1.66","5"
"IPX","0.66%","$48.63","94","A","156","-34.47%","-20.86%","102","","$0.32","1"
"ISOU","3.25%","$11.75","94","A","114","-2.92%","-13.48%","110","","$0.37","1"
"KALU","-0.70%","$130.14","94","B","216","-4.45%","-13.24%","206","","$-0.92","0"
"KRYS","-0.26%","$275.64","94","A","303","-31.55%","-7.60%","207","","$-0.72","0"
"MG","-1.48%","$15.28","94","A","174","-34.05%","-1.61%","115","","$-0.23","0"
"MITK","-0.61%","$14.58","94","A","789","7.07%","-3.76%","844","","$-0.09","1"
"MSGS","3.15%","$331.66","94","A","238","88.39%","-3.99%","448","","$10.13","1"
"MTRN","1.12%","$163.06","94","A","185","23.57%","-5.21%","229","","$1.80","0"
"NATR","0.65%","$27.68","94","A","119","-7.62%","-1.00%","110","","$0.18","0"
"NE","1.16%","$45.43","94","A","2,154","45.98%","-4.24%","3,145","","$0.52","0"
"NMM","4.37%","$72.16","94","A","129","138.70%","-0.84%","309","","$3.02","2"
"NPKI","-3.09%","$14.43","94","A","681","225.00%","-9.59%","2,214","","$-0.46","0"
"NWPX","-4.97%","$77.60","94","A","81","86.86%","-6.23%","151","","$-4.06","0"
"OCS","-1.93%","$29.41","94","A","267","-19.75%","-4.14%","214","","$-0.58","1"
"PARR","5.02%","$42.67","94","A","1,159","8.01%","-11.84%","1,252","","$2.04","1"
"PDS","1.00%","$86.94","94","A","102","51.36%","-5.91%","154","","$0.86","0"
"PKE","-2.58%","$26.42","94","A","260","-8.23%","-6.87%","239","","$-0.70","0"
"PRIM","-0.84%","$150.72","94","B","979","-37.09%","-13.59%","616","","$-1.27","0"
"PTGX","4.17%","$92.08","94","A","748","25.28%","-4.62%","937","","$3.69","1"
"SION","-3.84%","$36.54","94","B","307","-40.35%","-18.80%","183","","$-1.46","-1"
"SLAB","-0.09%","$204.53","94","A","739","13.62%","-2.06%","840","","$-0.19","0"
"TDW","2.33%","$79.42","94","A","728","15.04%","-3.15%","838","","$1.81","1"
"TNK","1.66%","$78.27","94","A","446","110.58%","-0.52%","940","","$1.28","0"
"TPB","-3.43%","$136.99","94","A","322","29.33%","-6.75%","416","","$-4.87","-1"
"TPR","-3.13%","$155.47","94","A","2,483","25.56%","-4.01%","3,117","","$-5.02","-1"
"TRMD","3.26%","$30.13","94","A","553","84.38%","-0.46%","1,020","","$0.95","2"
"TRVI","3.47%","$11.92","94","A","1,423","-8.28%","-17.16%","1,305","","$0.40","1"
"TSM","-0.59%","$374.58","94","A","12,795","-27.99%","-4.01%","9,213","","$-2.23","0"
"VALE","-0.75%","$17.18","94","A","37,149","-54.77%","-3.05%","16,803","","$-0.13","0"
"WF","-5.75%","$75.06","94","A","66","69.86%","-11.39%","113","","$-4.58","-1"
"WT","-1.50%","$17.11","94","A","4,082","-35.30%","-2.12%","2,641","","$-0.26","0"
"WWD","-0.25%","$386.76","94","A","631","-29.59%","-4.10%","444","","$-0.98","0"
"XPO","2.60%","$210.47","94","A","1,809","-4.60%","-1.05%","1,725","","$5.34","0"
"ZIM","-0.10%","$28.83","94","A","4,474","-49.18%","-3.80%","2,274","","$-0.03","0"
"ADEA","-0.77%","$20.69","93","A","993","26.96%","-1.80%","1,261","","$-0.16","0"
"ARQT","-5.60%","$26.97","93","A","1,559","36.60%","-15.11%","2,129","","$-1.60","-1"
"ASC","2.63%","$16.38","93","A","680","63.32%","-0.55%","1,110","","$0.42","2"
"BAP","-2.56%","$346.38","93","A","497","61.51%","-8.90%","802","","$-9.10","0"
"BHP","0.62%","$81.57","93","A","4,103","-8.65%","-0.94%","3,748","","$0.50","0"
"BWA","-0.59%","$57.57","93","A","3,615","-2.66%","-17.85%","3,518","","$-0.34","0"
"CHRW","0.64%","$185.25","93","B","2,426","-19.83%","-8.90%","1,945","","$1.17","0"
"CMDB","0.74%","$19.08","93","A","61","-10.85%","-4.26%","55","","$0.14","0"
"CMP","-0.12%","$25.20","93","A","507","-12.69%","-6.67%","442","","$-0.03","1"
"CMRE","0.46%","$17.57","93","A","499","21.33%","-1.51%","606","","$0.08","0"
"CPS","-3.17%","$38.44","93","A","218","-10.78%","-19.88%","195","","$-1.26","-1"
"CTRI","-1.37%","$31.00","93","A","1,394","-9.72%","-4.26%","1,259","","$-0.43","-1"
"CW","-0.24%","$700.33","93","A","281","725.51%","-2.60%","2,317","","$-1.66","0"
"DAKT","-3.08%","$25.78","93","A","525","32.45%","-8.81%","695","","$-0.82","0"
"DAR","0.40%","$53.16","93","A","2,369","-18.20%","-1.02%","1,937","","$0.21","0"
"DLX","-2.53%","$27.75","93","A","495","-16.29%","-2.97%","415","","$-0.72","-1"
"EHAB","0.07%","$13.61","93","A","1,068","123.08%","-0.22%","2,383","","$0.01","0"
"ENS","-2.91%","$166.15","93","B","507","6.23%","-14.69%","538","","$-4.98","0"
"EWTX","2.63%","$30.44","93","A","1,310","-13.56%","-4.34%","1,132","","$0.78","0"
"FDX","-0.18%","$387.00","93","A","1,952","40.86%","-1.49%","2,749","","$-0.68","0"
"GLDD","0.24%","$16.95","93","A","1,290","9.20%","-0.24%","1,409","","$0.04","0"
"GNRC","-3.83%","$225.37","93","A","1,258","-10.56%","-6.52%","1,125","","$-8.98","-1"
"GRC","-0.62%","$64.23","93","A","108","8.34%","-5.57%","117","","$-0.40","0"
"HAL","0.81%","$36.00","93","A","13,166","-22.74%","-0.53%","10,172","","$0.29","1"
"HWM","0.85%","$262.53","93","A","2,628","31.99%","-0.04%","3,469","","$2.22","1"
"IBP","1.79%","$327.76","93","B","311","91.94%","-6.09%","596","","$5.75","1"
"JBIO","1.85%","$14.83","93","B","308","38.19%","-16.26%","425","","$0.27","0"
"LPG","0.79%","$36.99","93","A","530","3.42%","-0.35%","548","","$0.29","0"
"LSCC","-1.68%","$95.62","93","A","1,919","15.18%","-11.53%","2,210","","$-1.63","-1"
"MRCY","-0.61%","$89.03","93","A","680","-43.60%","-14.26%","383","","$-0.55","0"
"MSGE","2.28%","$63.14","93","A","333","73.17%","-3.25%","576","","$1.41","1"
"MYE","-1.24%","$22.37","93","A","265","-27.13%","-3.33%","193","","$-0.28","0"
"MYRG","-0.92%","$269.96","93","A","229","41.39%","-7.19%","324","","$-2.51","0"
"OII","-5.51%","$35.50","93","A","1,207","44.52%","-8.97%","1,745","","$-2.07","-1"
"PDFS","-0.50%","$33.78","93","A","298","55.45%","-8.68%","463","","$-0.17","1"
"PLOW","-1.88%","$45.92","93","A","202","50.36%","-2.63%","304","","$-0.88","0"
"PWR","-0.35%","$563.08","93","A","1,044","47.24%","-1.89%","1,537","","$-1.97","0"
"RCUS","4.25%","$20.37","93","B","1,328","44.04%","-22.84%","1,912","","$0.83","1"
"RIO","0.25%","$99.34","93","A","3,899","-38.69%","-2.16%","2,390","","$0.25","0"
"RRX","0.08%","$220.98","93","A","960","-22.99%","-3.63%","739","","$0.18","0"
"SDRL","1.43%","$43.88","93","A","960","-10.58%","-4.40%","859","","$0.62","0"
"TECK","-3.44%","$58.89","93","A","4,313","1.07%","-5.64%","4,359","","$-2.10","0"
"TK","0.47%","$12.95","93","A","588","8.48%","-0.54%","637","","$0.06","0"
"TSAT","-2.27%","$31.40","93","A","155","-68.26%","-14.79%","49","","$-0.73","0"
"TWST","-3.67%","$46.92","93","B","1,386","-44.08%","-18.94%","775","","$-1.79","0"
"VIV","2.05%","$16.91","93","A","863","84.23%","-0.24%","1,590","","$0.34","1"
"VSEC","0.25%","$227.07","93","A","495","24.43%","-1.96%","616","","$0.57","0"
"XPRO","2.64%","$17.86","93","A","1,192","24.31%","-4.64%","1,482","","$0.46","1"
"AAMI","-3.44%","$53.86","92","A","250","76.79%","-5.56%","443","","$-1.92","-1"
"ADI","0.41%","$355.79","92","A","3,978","53.32%","-2.04%","6,100","","$1.44","0"
"ALGT","-4.08%","$102.15","92","B","498","-16.31%","-13.43%","417","","$-4.35","-2"
"ANDE","0.14%","$65.29","92","B","315","28.59%","-6.81%","405","","$0.09","0"
"APH","-1.62%","$146.06","92","A","9,730","0.99%","-12.56%","9,826","","$-2.41","0"
"ARCB","0.99%","$102.66","92","B","399","58.38%","-9.09%","632","","$1.01","0"
"ASTE","-0.40%","$62.09","92","A","208","49.69%","-3.54%","311","","$-0.25","0"
"ATEX","1.93%","$36.91","92","A","377","-17.01%","-6.84%","313","","$0.70","0"
"ATMU","0.59%","$64.53","92","A","744","27.23%","-2.96%","947","","$0.38","0"
"BKR","0.55%","$65.26","92","A","9,017","-2.79%","-0.79%","8,766","","$0.36","0"
"BWLP","2.19%","$18.23","92","A","358","-50.16%","-0.65%","178","","$0.39","1"
"CGNX","-1.73%","$54.40","92","A","2,202","85.93%","-9.15%","4,095","","$-0.96","-1"
"CNTA","0.34%","$26.86","92","A","1,288","-64.06%","-12.16%","463","","$0.09","1"
"COKE","1.47%","$202.40","92","A","509","78.22%","-1.27%","908","","$2.93","0"
"CX","-1.96%","$12.51","92","A","6,086","-24.11%","-6.29%","4,618","","$-0.25","-1"
"DBD","-3.67%","$80.00","92","A","268","85.18%","-5.28%","496","","$-3.05","0"
"DBRG","0.26%","$15.45","92","B","6,516","-59.89%","-0.64%","2,614","","$0.04","0"
"DD","-0.62%","$50.04","92","A","4,981","-22.86%","-4.98%","3,842","","$-0.31","0"
"DXPE","-6.91%","$138.47","92","A","127","12.58%","-19.35%","143","","$-10.28","-1"
"EE","1.85%","$40.25","92","A","384","200.89%","-6.55%","1,154","","$0.73","0"
"ELVN","0.24%","$29.69","92","A","1,079","-30.15%","-1.75%","754","","$0.07","0"
"FLS","-0.74%","$88.52","92","A","1,357","57.99%","-4.21%","2,144","","$-0.66","0"
"GNK","2.43%","$24.05","92","A","387","14.66%","-0.25%","444","","$0.57","1"
"HCSG","0.05%","$21.77","92","A","831","-14.46%","-5.27%","710","","$0.01","0"
"IMVT","1.17%","$27.73","92","A","1,500","-34.13%","-5.20%","988","","$0.32","0"
"IRMD","1.08%","$103.53","92","A","75","-21.88%","-4.05%","58","","$1.11","0"
"IX","-0.11%","$35.55","92","A","266","361.15%","-4.02%","1,229","","$-0.04","0"
"JBHT","2.27%","$233.41","92","A","1,051","40.90%","-0.60%","1,481","","$5.19","0"
"KB","-4.61%","$110.00","92","A","196","72.78%","-8.11%","339","","$-5.32","-1"
"KGS","-0.51%","$54.57","92","A","1,612","44.24%","-1.66%","2,325","","$-0.28","0"
"KNOP","2.99%","$10.69","92","A","103","5.70%","-4.13%","109","","$0.31","2"
"KNSA","2.30%","$44.49","92","B","588","-3.23%","-9.43%","569","","$1.00","1"
"LFUS","-2.76%","$352.46","92","A","246","128.37%","-7.25%","563","","$-10.02","0"
"LGCY","1.85%","$13.77","92","A","56","72.96%","-0.86%","96","","$0.25","2"
"LUV","-3.28%","$49.26","92","B","9,988","-5.82%","-10.62%","9,406","","$-1.67","-1"
"MATX","-1.44%","$166.13","92","A","317","7.63%","-6.41%","341","","$-2.43","0"
"MGA","-1.71%","$63.05","92","A","1,898","-29.38%","-9.85%","1,340","","$-1.10","0"
"MPWR","-3.17%","$1,142.74","92","A","695","15.94%","-9.03%","805","","$-37.39","0"
"NVT","-2.82%","$118.36","92","A","2,255","48.14%","-3.71%","3,341","","$-3.43","0"
"OUT","1.02%","$28.81","92","A","1,404","99.53%","-1.57%","2,801","","$0.29","1"
"PLPC","-2.56%","$253.65","92","B","109","55.27%","-11.92%","170","","$-6.67","-1"
"REZI","-4.40%","$38.70","92","A","1,345","46.95%","-14.55%","1,977","","$-1.78","-1"
"SBLK","5.08%","$26.29","92","A","1,444","98.03%","-0.49%","2,860","","$1.27","2"
"SCHL","1.55%","$34.77","92","A","448","25.62%","-3.36%","563","","$0.53","1"
"SHG","-3.93%","$66.81","92","A","232","22.23%","-8.98%","283","","$-2.73","-1"
"SNCY","-3.53%","$19.68","92","B","1,448","-23.84%","-11.71%","1,103","","$-0.72","-1"
"TEX","0.92%","$68.79","92","A","1,954","-0.62%","-3.79%","1,941","","$0.63","0"
"TS","-0.02%","$54.40","92","A","1,435","-15.81%","-0.84%","1,208","","$-0.01","0"
"ULTA","-1.56%","$684.79","92","A","543","22.16%","-4.22%","663","","$-10.84","0"
"UMC","1.36%","$10.44","92","A","10,743","-56.60%","-17.67%","4,662","","$0.14","1"
"VRDN","-0.37%","$29.38","92","B","1,481","22.93%","-14.32%","1,820","","$-0.11","0"
"VTRS","-2.10%","$14.93","92","A","10,020","119.85%","-9.35%","22,028","","$-0.32","0"
"ZUMZ","-2.36%","$26.22","92","A","207","-21.46%","-17.29%","162","","$-0.64","-1"
"AES","6.34%","$17.28","91","A","9,062","190.54%","-2.10%","26,328","","$1.03","3"
"AMG","-2.16%","$306.18","91","B","448","0.13%","-8.54%","448","","$-6.76","-1"
"AMRX","-4.69%","$13.81","91","B","2,622","55.09%","-10.44%","4,066","","$-0.68","-2"
"AROC","-0.28%","$35.33","91","A","1,564","44.25%","-1.59%","2,256","","$-0.10","0"
"ASMB","0.84%","$29.84","91","A","125","3.55%","-24.86%","130","","$0.25","0"
"BG","1.03%","$120.65","91","A","1,637","5.41%","-3.31%","1,726","","$1.23","1"
"BWXT","-0.61%","$205.98","91","A","977","-18.08%","-6.61%","801","","$-1.26","0"
"CC","5.31%","$18.24","91","B","3,225","71.12%","-16.52%","5,519","","$0.92","2"
"CMI","-0.72%","$583.87","91","B","957","76.46%","-5.52%","1,688","","$-4.24","0"
"COCO","1.13%","$58.06","91","A","865","25.51%","-3.04%","1,086","","$0.65","0"
"COHU","-1.72%","$30.20","91","B","812","14.23%","-13.62%","927","","$-0.53","-1"
"CTRN","-0.46%","$47.38","91","A","102","-14.44%","-4.28%","87","","$-0.22","0"
"CVE","1.09%","$22.31","91","A","12,892","-6.45%","-4.62%","12,060","","$0.24","1"
"DIOD","-2.01%","$68.23","91","A","363","33.12%","-16.50%","483","","$-1.40","0"
"E","3.07%","$46.94","91","A","304","108.32%","-0.02%","633","","$1.40","2"
"ESE","-1.00%","$277.29","91","A","208","15.08%","-4.81%","239","","$-2.81","0"
"GOOG","1.39%","$311.43","91","B","21,972","52.00%","-11.06%","33,397","","$4.28","2"
"GOOGL","1.42%","$311.76","91","B","34,503","29.46%","-10.67%","44,666","","$4.38","1"
"GSL","1.66%","$41.08","91","A","322","54.24%","-0.12%","496","","$0.67","1"
"HSBC","-1.42%","$93.16","91","A","2,099","-1.92%","-1.73%","2,059","","$-1.34","-1"
"HXL","-1.18%","$92.69","91","A","1,229","4.60%","-1.87%","1,285","","$-1.11","-1"
"IMAX","2.54%","$42.83","91","A","1,168","19.04%","-0.76%","1,391","","$1.06","2"
"IMO","0.45%","$117.30","91","A","677","-48.39%","-5.04%","349","","$0.52","1"
"INVX","-1.09%","$26.35","91","A","505","57.12%","-10.62%","794","","$-0.29","0"
"JBL","-2.54%","$264.99","91","A","1,205","52.16%","-5.82%","1,834","","$-6.92","-1"
"JOUT","-5.22%","$48.49","91","A","58","36.53%","-6.14%","80","","$-2.67","-1"
"LBRX","-0.91%","$24.01","91","A","320","-67.68%","-6.21%","103","","$-0.22","0"
"LHX","2.64%","$364.54","91","A","1,428","38.67%","-1.37%","1,980","","$9.38","1"
"LMT","2.56%","$658.08","91","A","1,769","46.95%","-1.74%","2,599","","$16.45","1"
"LXU","0.69%","$11.62","91","A","488","59.11%","-1.36%","777","","$0.08","1"
"NGVT","2.14%","$72.03","91","B","319","73.84%","-7.01%","554","","$1.51","1"
"NHC","2.08%","$163.50","91","A","79","41.45%","-4.74%","112","","$3.33","1"
"NOV","0.35%","$20.26","91","A","4,565","-34.43%","-2.88%","2,993","","$0.07","0"
"NSSC","-0.09%","$46.61","91","A","453","131.42%","-3.14%","1,048","","$-0.04","0"
"NVAX","-9.38%","$10.14","91","A","5,167","97.95%","-15.29%","10,229","","$-1.05","-3"
"NVST","-0.31%","$29.21","91","A","2,965","-16.37%","-3.98%","2,479","","$-0.09","0"
"OSK","-1.16%","$170.02","91","A","816","17.40%","-5.80%","958","","$-2.00","-1"
"PCVX","2.90%","$61.74","91","A","1,393","2.59%","-21.60%","1,429","","$1.74","1"
"PHIN","-2.02%","$72.63","91","A","440","23.45%","-10.45%","543","","$-1.50","0"
"PLXS","-2.45%","$194.13","91","B","307","-9.26%","-8.36%","278","","$-4.87","0"
"PSMT","0.53%","$154.62","91","A","218","-38.48%","-2.06%","134","","$0.82","1"
"Q","1.59%","$126.76","91","A","2,518","88.17%","-9.84%","4,738","","$1.98","1"
"QXO","0.29%","$23.95","91","B","8,097","-11.22%","-13.26%","7,189","","$0.07","0"
"RBC","-0.10%","$575.92","91","A","209","-5.36%","-1.02%","198","","$-0.58","0"
"SAN","-4.48%","$12.36","91","A","9,980","149.29%","-6.65%","24,881","","$-0.58","-1"
"SANM","-3.82%","$155.26","91","A","810","14.20%","-16.21%","925","","$-6.17","-1"
"SBS","-0.92%","$30.01","91","A","1,222","-18.51%","-2.02%","995","","$-0.28","0"
"SD","3.36%","$17.53","91","A","306","-4.16%","-1.90%","293","","$0.57","1"
"SKM","-1.97%","$30.34","91","A","1,500","34.07%","-10.00%","2,011","","$-0.61","-1"
"SLB","-0.29%","$51.34","91","A","18,584","-7.43%","-2.02%","17,203","","$-0.15","0"
"SNEX","-2.64%","$127.50","91","A","345","-18.17%","-2.67%","282","","$-3.46","-1"
"TBN","2.36%","$31.70","91","A","50","400.23%","-2.67%","252","","$0.73","1"
"TBPH","0.33%","$18.25","91","B","454","198.37%","-13.22%","1,354","","$0.06","0"
"TIMB","0.37%","$27.48","91","A","421","-57.04%","-0.94%","181","","$0.10","0"
"TPH","0.00%","$46.30","91","A","2,017","118.57%","-0.69%","4,408","","$0.00","0"
"WTTR","-1.30%","$13.67","91","A","1,205","97.06%","-11.52%","2,375","","$-0.18","-1"
"ZYME","-2.18%","$23.29","91","A","720","-23.97%","-18.25%","547","","$-0.52","0"
"AMX","2.36%","$26.02","90","A","2,570","27.84%","-0.15%","3,285","","$0.60","2"
"APA","4.36%","$30.37","90","A","6,242","39.29%","-0.16%","8,695","","$1.27","2"
"BH","-0.86%","$387.78","90","B","90","132.74%","-19.81%","209","","$-3.38","0"
"BHE","-2.31%","$57.81","90","A","307","59.77%","-5.42%","491","","$-1.37","-1"
"CAH","0.92%","$229.23","90","A","1,715","20.47%","-0.68%","2,067","","$2.10","0"
"CASY","0.47%","$685.59","90","A","354","568.93%","-0.64%","2,365","","$3.24","0"
"CNQ","1.58%","$43.77","90","A","8,935","-10.52%","-0.61%","7,994","","$0.68","1"
"ELPC","-0.94%","$11.59","90","A","186","109.64%","-1.45%","391","","$-0.11","-1"
"ESI","-1.74%","$35.09","90","A","2,499","66.73%","-7.02%","4,167","","$-0.62","-1"
"FCFS","1.86%","$192.79","90","A","254","36.15%","-0.60%","346","","$3.52","0"
"GRDN","1.33%","$33.51","90","A","242","0.96%","-10.47%","244","","$0.44","1"
"GSK","1.83%","$59.13","90","A","5,300","12.86%","-4.17%","5,982","","$1.06","0"
"GVA","-1.20%","$134.46","90","A","671","22.10%","-2.03%","819","","$-1.63","0"
"HCC","-1.70%","$83.24","90","B","942","99.10%","-20.99%","1,876","","$-1.44","-1"
"HTHT","-2.25%","$54.80","90","A","1,617","57.49%","-3.25%","2,546","","$-1.26","-1"
"JCI","0.61%","$144.30","90","A","5,825","34.48%","-1.49%","7,833","","$0.88","0"
"JNJ","2.04%","$248.43","90","A","9,108","81.23%","-0.20%","16,507","","$4.96","1"
"JOE","3.50%","$72.17","90","A","194","95.47%","-0.59%","379","","$2.44","1"
"KN","-2.69%","$27.17","90","A","732","-5.98%","-5.46%","688","","$-0.75","-1"
"KNX","1.98%","$62.92","90","A","3,111","11.58%","-0.10%","3,471","","$1.22","1"
"MEOH","4.27%","$50.53","90","A","522","20.67%","-2.71%","630","","$2.07","2"
"NAMS","3.44%","$35.46","90","A","716","-2.77%","-15.57%","696","","$1.18","1"
"NGS","-0.36%","$38.26","90","A","129","-27.07%","-3.55%","94","","$-0.14","0"
"NOC","1.90%","$724.38","90","A","948","2.89%","-2.84%","975","","$13.48","1"
"NPK","-1.19%","$131.94","90","A","77","-24.75%","-4.24%","58","","$-1.59","0"
"NVS","1.88%","$168.62","90","A","2,108","51.73%","-1.08%","3,199","","$3.11","1"
"NXST","1.97%","$251.02","90","A","338","48.75%","-1.29%","503","","$4.86","1"
"NYT","1.20%","$79.79","90","A","2,237","21.48%","-0.15%","2,717","","$0.95","1"
"ON","-2.46%","$66.48","90","A","9,455","-1.76%","-9.87%","9,288","","$-1.68","-1"
"PBF","-1.28%","$35.60","90","A","3,213","16.51%","-14.18%","3,743","","$-0.46","0"
"PBT","0.51%","$19.79","90","A","66","-40.67%","-3.46%","39","","$0.10","0"
"PRLB","-1.41%","$62.08","90","A","190","-24.07%","-9.91%","144","","$-0.89","0"
"PSTL","0.88%","$20.73","90","A","309","32.47%","-1.89%","409","","$0.18","-1"
"ROG","-0.46%","$107.83","90","A","155","5.25%","-4.41%","163","","$-0.50","0"
"SEI","-2.61%","$49.63","90","B","2,796","-2.89%","-19.12%","2,715","","$-1.33","-1"
"SNDX","5.03%","$21.71","90","A","1,269","78.15%","-4.49%","2,261","","$1.04","1"
"STM","-2.24%","$33.61","90","A","7,207","-31.25%","-4.16%","4,955","","$-0.77","0"
"SU","1.84%","$56.52","90","A","4,698","-36.45%","-1.07%","2,985","","$1.02","1"
"SUPN","-1.83%","$54.73","90","A","762","14.96%","-8.29%","876","","$-1.02","-1"
"TKR","-1.37%","$108.38","90","A","777","20.81%","-2.70%","939","","$-1.50","0"
"TNDM","-1.90%","$25.30","90","A","1,880","-3.43%","-14.67%","1,815","","$-0.49","4"
"TRDA","-6.72%","$11.93","90","A","214","42.50%","-7.73%","304","","$-0.86","-2"
"VIK","-2.12%","$78.02","90","A","2,193","-13.30%","-4.25%","1,901","","$-1.69","0"
"VOD","-0.26%","$15.36","90","A","4,695","13.27%","-3.46%","5,318","","$-0.04","0"
"WLK","5.02%","$105.38","90","A","1,401","-8.12%","-8.17%","1,288","","$5.04","2"
"XOM","2.67%","$152.50","90","A","19,852","52.49%","-2.82%","30,273","","$3.96","2"
"ACNT","-0.61%","$17.16","89","C","53","-60.92%","-4.24%","21","","$-0.11","1"
"BEAM","-1.59%","$28.46","89","B","1,782","-6.12%","-21.90%","1,673","","$-0.46","0"
"CDLR","-2.71%","$25.52","89","B","123","2.16%","-4.74%","126","","$-0.71","-2"
"CM","-2.69%","$100.96","89","B","1,175","8.11%","-3.85%","1,270","","$-2.79","-1"
"CUK","-3.41%","$31.47","89","B","2,445","-30.85%","-6.67%","1,691","","$-1.11","-1"
"CYTK","-0.65%","$62.22","89","C","1,950","-26.56%","-12.34%","1,432","","$-0.41","-1"
"DGII","-2.22%","$48.82","89","B","325","-15.20%","-5.72%","275","","$-1.11","-1"
"ECVT","-1.57%","$11.27","89","B","1,324","83.13%","-8.60%","2,425","","$-0.18","1"
"FER","0.42%","$74.38","89","B","2,622","-56.19%","-0.55%","1,149","","$0.31","1"
"GM","-2.57%","$78.71","89","C","8,544","56.26%","-10.17%","13,351","","$-2.08","-1"
"GOLF","-0.72%","$102.33","89","B","350","30.58%","-2.37%","457","","$-0.74","0"
"GXO","-1.07%","$62.83","89","B","1,286","34.75%","-6.01%","1,733","","$-0.68","0"
"HRTG","-0.14%","$27.87","89","B","312","33.30%","-12.85%","416","","$-0.04","0"
"HSAI","-1.10%","$26.95","89","B","2,091","-21.43%","-12.64%","1,643","","$-0.30","3"
"IDCC","-2.33%","$366.53","89","B","289","39.17%","-11.17%","402","","$-8.76","-1"
"JAZZ","0.56%","$190.02","89","B","1,074","-29.44%","-4.03%","758","","$1.05","1"
"LGND","1.09%","$198.31","89","B","208","0.41%","-6.67%","209","","$2.14","0"
"LIVN","-0.56%","$70.60","89","B","693","36.51%","-1.84%","946","","$-0.40","0"
"MRK","3.79%","$123.82","89","B","13,280","32.80%","-1.05%","17,635","","$4.52","2"
"MTW","-0.41%","$14.75","89","B","276","-33.65%","-5.21%","183","","$-0.06","0"
"NATL","5.76%","$44.28","89","B","560","1,360.99%","-4.88%","8,182","","$2.41","4"
"ODFL","2.36%","$203.05","89","B","2,247","57.86%","-2.73%","3,548","","$4.68","2"
"PH","-0.57%","$1,009.18","89","B","641","66.26%","-2.49%","1,066","","$-5.79","0"
"PHVS","1.39%","$28.39","89","B","179","-14.91%","-4.73%","152","","$0.39","-1"
"PKX","-0.01%","$69.59","89","B","198","12.66%","-2.47%","224","","$-0.01","-1"
"REX","-0.53%","$35.56","89","B","185","6.65%","-2.58%","197","","$-0.19","-1"
"ROAD","-0.93%","$134.37","89","B","541","-18.89%","-5.31%","439","","$-1.26","0"
"SAIA","0.30%","$405.39","89","B","520","-9.39%","-3.50%","471","","$1.23","1"
"SBH","-3.19%","$16.07","89","B","1,719","5.03%","-10.32%","1,805","","$-0.53","-1"
"SENEA","-0.77%","$138.98","89","B","57","72.91%","-4.89%","98","","$-1.08","1"
"SMFG","-1.75%","$22.44","89","C","2,099","10.07%","-7.81%","2,311","","$-0.40","-1"
"STLD","0.32%","$193.13","89","C","1,348","-2.00%","-7.36%","1,321","","$0.61","0"
"TD","-1.44%","$97.36","89","B","2,391","45.62%","-2.48%","3,482","","$-1.42","0"
"TDY","0.34%","$681.10","89","B","369","15.44%","-1.56%","426","","$2.28","1"
"TFII","0.42%","$119.72","89","B","398","68.87%","-6.06%","672","","$0.50","1"
"THC","-0.12%","$239.39","89","B","973","-37.25%","-0.60%","611","","$-0.28","0"
"TRGP","1.98%","$235.80","89","B","1,384","71.15%","-0.72%","2,370","","$4.58","1"
"TX","0.46%","$43.47","89","C","229","-43.49%","-4.61%","129","","$0.20","0"
"UTHR","0.06%","$503.90","89","B","393","55.31%","-6.20%","610","","$0.30","0"
"VET","1.41%","$10.77","89","B","1,653","-13.15%","-1.37%","1,436","","$0.15","1"
"VLO","0.42%","$204.64","89","B","3,242","-7.67%","-1.03%","2,994","","$0.85","0"
"VVX","0.09%","$69.75","89","B","426","91.14%","-4.95%","815","","$0.06","1"
"WCC","-2.14%","$289.50","89","C","562","26.54%","-9.44%","711","","$-6.34","-1"
"ALSN","0.39%","$125.30","88","B","883","51.23%","-0.80%","1,336","","$0.49","0"
"APG","-1.48%","$44.46","88","B","2,335","51.72%","-5.18%","3,542","","$-0.67","0"
"ARW","-1.10%","$152.16","88","B","619","30.42%","-6.43%","807","","$-1.69","-1"
"AVT","-0.47%","$65.84","88","B","1,186","-29.81%","-3.59%","833","","$-0.31","1"
"AZZ","1.18%","$135.98","88","B","167","36.11%","-3.68%","227","","$1.58","1"
"BBVA","-2.24%","$23.13","88","C","1,950","-3.43%","-11.72%","1,883","","$-0.53","-1"
"BKV","4.43%","$31.33","88","B","717","39.39%","-1.29%","999","","$1.33","3"
"BSAC","-3.31%","$33.91","88","C","318","71.84%","-10.10%","547","","$-1.16","-1"
"CAAP","-1.59%","$28.50","88","C","239","38.89%","-6.56%","332","","$-0.46","-1"
"CFLT","0.13%","$30.67","88","B","13,295","-22.55%","-7.06%","10,296","","$0.04","-1"
"CLB","1.09%","$17.59","88","C","386","35.74%","-13.61%","523","","$0.19","0"
"CLDX","-1.80%","$30.09","88","B","777","77.56%","-3.90%","1,379","","$-0.55","-1"
"CVLG","0.10%","$29.44","88","B","167","-38.67%","-3.09%","102","","$0.03","0"
